batch_index,batch_size,status,latency_sec,peak_memory_mb,process_rss_mb,ttft_sec,throughput_tps,decode_tps,output_tokens,total_tokens,error
0,1,ok,15.701899533999978,3402.0,1872.640625,15.701899533999978,12.673625860941028,0.0,199.0,210.0,
1,1,ok,6.856380350999984,3402.0,1872.640625,6.856380350999984,15.314202921179254,0.0,105.0,120.0,
2,1,ok,12.038506729000005,3402.0,1872.640625,12.038506729000005,15.782688358042112,0.0,190.0,201.0,
3,1,ok,15.823955747000014,3402.0,1872.640625,15.823955747000014,13.33421322541315,0.0,211.0,227.0,
4,1,ok,15.46206919499997,3402.0,1872.640625,15.46206919499997,15.13380887440793,0.0,234.0,249.0,
5,1,ok,14.594590537000045,3404.0,1872.640625,14.594590537000045,14.52592996443031,0.0,212.0,230.0,
6,1,ok,14.852469472999985,3404.0,1872.640625,14.852469472999985,14.475707247932359,0.0,215.0,231.0,
7,1,ok,10.493764128999999,3404.0,1872.640625,10.493764128999999,14.770676955817063,0.0,155.0,170.0,
8,1,ok,16.132307791000017,3404.0,1872.640625,16.132307791000017,12.70741933862473,0.0,205.0,225.0,
9,1,ok,14.998065155000006,3404.0,1872.640625,14.998065155000006,14.268507156648628,0.0,214.0,233.0,
10,1,ok,15.08935206000001,3404.0,1872.640625,15.08935206000001,14.11591426543996,0.0,213.0,228.0,
11,1,ok,15.511469750000003,3404.0,1872.640625,15.511469750000003,13.925179462764962,0.0,216.0,231.0,
12,1,ok,15.738445849000016,3404.0,1872.640625,15.738445849000016,12.644196378046058,0.0,199.0,210.0,
13,1,ok,7.140199676000009,3404.0,1872.640625,7.140199676000009,14.705471102290202,0.0,105.0,120.0,
14,1,ok,13.092927583999995,3404.0,1872.640625,13.092927583999995,14.511651330920557,0.0,190.0,201.0,
15,1,ok,15.68996109599999,3404.0,1872.640625,15.68996109599999,13.448089431770006,0.0,211.0,227.0,
16,1,ok,15.493470969999976,3404.0,1872.640625,15.493470969999976,15.103136053444347,0.0,234.0,249.0,
17,1,ok,15.713621027000045,3404.0,1872.640625,15.713621027000045,13.491479757321972,0.0,212.0,230.0,
18,1,ok,15.620868356000017,3404.0,1872.640625,15.620868356000017,13.76363945333538,0.0,215.0,231.0,
19,1,ok,11.27622014100001,3404.0,1872.640625,11.27622014100001,13.745740865454062,0.0,155.0,170.0,
20,1,ok,16.053981499000088,3404.0,1872.640625,16.053981499000088,12.769417979755882,0.0,205.0,225.0,
21,1,ok,15.003751299999976,3404.0,1872.640625,15.003751299999976,14.26309965561748,0.0,214.0,233.0,
22,1,ok,14.945182337000006,3404.0,1872.640625,14.945182337000006,14.252084397302587,0.0,213.0,228.0,
23,1,ok,14.792864880000025,3404.0,1872.640625,14.792864880000025,14.601634081849305,0.0,216.0,231.0,
